customer_id,gender,age,city,signup_date,loyalty_member
C0073,Male,60,Manchester,2023-11-30,No
C0074,Female,57,Birmingham,2023-07-28,Yes
C0075,Male,44,London,2022-06-16,Yes
C0076,Female,60,Leeds,2022-12-07,No
C0077,Male,42,London,2022-06-13,No
C0078,Male,47,Bristol,2022-08-16,No
C0079,Male,19,Leeds,2022-08-22,No
C0080,Female,22,Liverpool,2022-12-03,No
C0081,Female,61,Bristol,2023-10-19,Yes
C0082,Female,29,Liverpool,2022-04-29,Yes
C0083,Female,40,Bristol,2022-04-22,No
C0084,Male,42,Leeds,2023-09-13,No
C0085,Female,18,Leeds,2022-02-15,No
C0086,Male,60,Bristol,2023-03-18,No
C0087,Male,64,Liverpool,2023-11-11,No
C0088,Female,38,Sheffield,2023-11-14,No
C0089,Male,30,Sheffield,2023-07-22,No
C0090,Male,57,Liverpool,2023-11-25,No
C0091,Male,37,Liverpool,2023-07-16,Yes
C0092,Female,47,Nottingham,2023-03-17,No
C0093,Male,50,Nottingham,2023-11-23,Yes
C0094,Male,36,Bristol,2023-11-06,Yes
C0095,Female,32,Leeds,2022-08-29,Yes
C0096,Male,33,Nottingham,2022-01-26,Yes
C0097,Female,58,Leeds,2023-04-12,No
C0098,Female,33,Birmingham,2023-05-22,Yes
C0099,Female,32,Birmingham,2022-04-20,No
C0100,Male,25,Nottingham,2022-02-21,Yes
C0101,Female,46,Sheffield,2023-04-21,No
C0102,Female,46,Liverpool,2022-06-12,Yes
C0103,Female,51,Nottingham,2023-10-15,Yes
C0104,Female,22,Liverpool,2022-10-09,Yes
C0105,Female,38,Manchester,2022-10-06,Yes
C0106,Male,42,Birmingham,2022-06-04,Yes
C0107,Female,44,Bristol,2022-03-07,No
C0108,Male,31,Sheffield,2023-03-02,No
C0109,Male,54,Sheffield,2023-08-22,No
C0110,Female,37,Sheffield,2022-01-07,No
C0111,Male,49,Leeds,2023-07-06,No
C0112,Female,19,Sheffield,2023-03-23,No
C0113,Female,64,Birmingham,2023-11-16,No
C0114,Male,43,London,2022-05-11,Yes
C0115,Female,26,Nottingham,2023-10-21,Yes
C0116,Female,42,Bristol,2022-02-21,Yes
C0117,Female,39,Sheffield,2023-04-11,No
C0118,Female,23,Nottingham,2023-03-08,Yes
C0119,Male,40,Leeds,2023-07-07,Yes
C0120,Male,19,Leeds,2023-10-30,Yes
C0121,Male,33,Birmingham,2022-01-21,No
C0122,Male,54,Leeds,2023-11-17,No
C0123,Female,28,Manchester,2022-09-20,Yes
C0124,Male,55,London,2022-11-15,No
C0125,Female,43,Leeds,2023-08-13,Yes
C0126,Male,24,Liverpool,2023-08-30,Yes
C0127,Male,40,Sheffield,2023-08-03,No
C0128,Female,18,Sheffield,2022-03-12,No
C0129,Female,41,Nottingham,2022-04-19,Yes
C0130,Male,64,Liverpool,2023-03-22,No
C0131,Female,64,Liverpool,2023-04-22,No
C0132,Male,35,Nottingham,2022-09-09,Yes
C0133,Female,39,London,2023-04-21,No
C0134,Male,49,Leeds,2022-11-29,No
C0135,Female,35,Liverpool,2022-09-22,Yes
C0136,Male,23,Leeds,2023-06-14,No
C0137,Male,62,Nottingham,2023-05-16,No
C0138,Male,23,Liverpool,2023-04-04,Yes
C0139,Male,37,Bristol,2023-02-19,No
C0140,Female,45,Bristol,2023-07-21,No
C0141,Female,37,Liverpool,2023-04-10,Yes
C0142,Male,38,Manchester,2022-05-04,Yes
C0143,Male,65,Nottingham,2022-07-16,No
C0144,Female,24,Leeds,2023-08-27,No
C0145,Female,29,Liverpool,2022-08-21,Yes
C0146,Male,35,London,2023-07-01,Yes
C0147,Female,62,Birmingham,2023-07-21,No
C0148,Male,54,Liverpool,2022-04-16,No
C0149,Female,39,Birmingham,2023-05-06,Yes
C0150,Female,25,Manchester,2022-09-16,No
C0151,Male,54,London,2023-05-19,Yes
C0152,Female,23,Leeds,2022-06-02,Yes
C0153,Female,56,Leeds,2023-07-26,No
C0154,Female,37,Sheffield,2023-04-07,No
C0155,Male,57,Manchester,2023-08-06,Yes
C0156,Male,34,Manchester,2023-10-03,Yes
C0157,Male,53,Manchester,2022-09-03,Yes
C0158,Female,46,Nottingham,2022-01-03,No
C0159,Male,36,Liverpool,2022-02-03,No
C0160,Male,34,Leeds,2022-03-14,No
C0161,Male,59,Birmingham,2022-04-28,No
C0162,Male,21,Birmingham,2022-05-26,No
C0163,Female,46,Manchester,2023-09-02,No
C0164,Female,35,Nottingham,2022-11-08,No
C0165,Male,45,Bristol,2022-03-24,No
C0166,Male,32,London,2022-01-27,No
C0167,Male,29,Nottingham,2023-08-14,No
C0168,Male,55,Sheffield,2022-10-12,No
C0169,Female,40,Sheffield,2022-04-04,No
C0170,Male,28,Bristol,2022-11-25,No
C0171,Female,60,Sheffield,2023-05-23,Yes
C0172,Male,38,Liverpool,2023-04-11,No
C0173,Female,50,London,2022-04-29,No
C0174,Male,30,Bristol,2023-02-28,No
C0175,Female,21,Leeds,2023-10-03,No
C0176,Male,36,Nottingham,2023-07-17,No
C0177,Male,58,Leeds,2022-05-05,Yes
C0178,Male,53,Sheffield,2022-11-15,Yes
C0179,Male,47,Manchester,2022-08-19,Yes
C0180,Female,50,Liverpool,2023-05-26,No
C0181,Female,33,Nottingham,2023-05-10,Yes
C0182,Male,56,Birmingham,2023-01-28,Yes
C0183,Female,39,Liverpool,2022-10-10,Yes
C0184,Female,55,Nottingham,2022-10-17,Yes
C0185,Female,40,Bristol,2023-04-03,No
C0186,Female,30,Leeds,2023-04-12,No
C0187,Female,20,Bristol,2022-08-28,No
C0188,Female,60,Birmingham,2023-01-26,No
C0189,Male,50,Bristol,2022-02-07,Yes
C0190,Male,51,Nottingham,2023-03-27,Yes
C0191,Female,59,Birmingham,2022-05-28,Yes
C0192,Female,39,Sheffield,2023-04-26,Yes
C0193,Female,38,Nottingham,2022-12-03,Yes
C0194,Male,33,Liverpool,2023-09-25,Yes
C0195,Female,24,Manchester,2022-04-03,No
C0196,Female,19,London,2022-06-20,No
C0197,Female,40,Bristol,2022-02-27,No
C0198,Male,51,Sheffield,2022-05-30,Yes
C0199,Male,23,Sheffield,2022-06-24,Yes
C0200,Male,32,Nottingham,2023-05-25,No
C0201,Female,60,London,2023-04-16,No
C0202,Male,22,Nottingham,2022-10-22,No
C0203,Female,58,Sheffield,2023-08-25,No
C0204,Female,30,Sheffield,2023-04-13,No
C0205,Male,42,Bristol,2022-04-20,No
C0206,Male,60,Sheffield,2022-10-30,No
C0207,Male,56,Nottingham,2022-01-09,No
C0208,Female,32,Leeds,2022-08-24,No
C0209,Male,58,Manchester,2023-11-26,Yes
C0210,Female,20,Bristol,2022-11-13,Yes
C0211,Female,38,Sheffield,2022-04-03,Yes
C0212,Male,52,Bristol,2022-07-25,No
C0213,Female,48,Liverpool,2022-06-18,No
C0214,Female,22,Birmingham,2022-04-28,Yes
C0215,Female,53,Bristol,2023-11-24,Yes
C0216,Male,34,Manchester,2023-02-09,No
C0217,Female,55,Sheffield,2023-01-13,No
C0218,Male,48,London,2022-04-21,No
C0219,Male,59,Manchester,2023-09-17,No
C0220,Female,25,Birmingham,2022-11-06,Yes
C0221,Female,49,Manchester,2022-02-08,Yes
C0222,Male,42,Nottingham,2022-08-29,No
C0223,Female,55,Birmingham,2023-11-18,No
C0224,Male,49,Sheffield,2023-11-02,No
C0225,Female,31,Nottingham,2022-02-03,No
C0226,Female,24,Bristol,2022-08-30,No
C0227,Female,35,Leeds,2022-03-04,Yes
C0228,Male,60,Leeds,2023-04-11,Yes
C0229,Female,33,Birmingham,2022-02-21,Yes
C0230,Male,55,Leeds,2022-03-12,Yes
C0231,Male,56,London,2022-12-03,No
C0232,Male,52,Liverpool,2022-05-29,Yes
C0233,Male,26,London,2022-04-23,No
C0234,Female,19,Birmingham,2022-09-01,No
C0235,Male,65,Sheffield,2022-02-23,Yes
C0236,Female,46,Bristol,2022-03-07,Yes
C0237,Male,57,London,2023-04-08,No
C0238,Male,21,Nottingham,2023-04-15,No
C0239,Male,49,Nottingham,2023-03-13,Yes
C0240,Female,56,Birmingham,2022-03-24,Yes
C0241,Female,57,Bristol,2022-05-10,No
C0242,Female,47,Sheffield,2023-09-04,Yes
C0243,Male,45,Nottingham,2022-04-28,Yes
C0244,Female,47,Sheffield,2023-02-28,No
C0245,Female,45,Bristol,2022-04-08,No
C0246,Male,61,Nottingham,2023-01-19,Yes
C0247,Male,23,Sheffield,2022-04-04,Yes
C0248,Male,53,London,2023-01-17,No
C0249,Male,44,Bristol,2023-11-18,No
C0250,Female,56,Liverpool,2022-02-22,No
C0251,Male,27,Nottingham,2022-04-17,Yes
C0252,Female,53,Bristol,2022-04-21,Yes
C0253,Male,45,London,2022-10-13,No
C0254,Male,35,Liverpool,2022-01-30,No
C0255,Male,29,Birmingham,2022-12-26,No
C0256,Male,65,London,2022-03-13,Yes
C0257,Male,42,Sheffield,2023-06-28,No
C0258,Male,41,Liverpool,2022-12-16,No
C0259,Male,21,Birmingham,2023-08-05,Yes
C0260,Male,61,Manchester,2023-09-25,No
C0261,Female,49,Nottingham,2023-03-30,No
C0262,Male,50,Manchester,2022-10-07,No
C0263,Male,36,Nottingham,2023-03-17,No
C0264,Male,43,London,2022-02-16,Yes
C0265,Female,31,Birmingham,2022-07-29,No
C0266,Female,25,London,2022-10-24,No
C0267,Male,26,Sheffield,2023-03-17,Yes
C0268,Female,22,Sheffield,2023-05-28,Yes
C0269,Male,47,Manchester,2023-03-23,No
C0270,Female,54,Sheffield,2023-08-13,No
C0271,Male,43,London,2022-10-24,No
C0272,Female,62,Bristol,2022-06-25,Yes
C0273,Male,33,Sheffield,2023-03-24,No
C0274,Male,43,Liverpool,2023-06-21,No
C0275,Female,28,Manchester,2022-08-15,Yes
C0276,Male,40,Bristol,2023-06-28,Yes
C0277,Male,27,Liverpool,2022-08-30,Yes
C0278,Male,59,Manchester,2022-06-27,Yes
C0279,Female,47,Nottingham,2023-10-06,No
C0280,Female,27,Nottingham,2023-10-05,Yes
C0281,Female,58,Liverpool,2023-04-26,No
C0282,Male,40,Manchester,2023-08-29,No
C0283,Female,20,London,2023-04-18,No
C0284,Male,59,Manchester,2022-10-21,No
C0285,Male,46,Leeds,2023-04-19,No
C0286,Female,50,Birmingham,2023-09-12,Yes
C0287,Male,39,Manchester,2023-04-07,Yes
C0288,Male,63,Nottingham,2022-02-10,No
C0289,Male,41,Bristol,2023-06-21,No
C0290,Female,39,London,2023-02-01,No
C0291,Female,24,Sheffield,2022-03-09,No
C0292,Male,39,Manchester,2022-09-16,Yes
C0293,Female,59,Sheffield,2022-12-25,Yes
C0294,Male,37,Sheffield,2023-09-02,No
C0295,Male,59,Sheffield,2022-05-11,No
C0296,Female,37,Birmingham,2022-01-19,Yes
C0297,Female,30,Leeds,2022-12-16,Yes
C0298,Male,36,Manchester,2022-06-08,Yes
C0299,Female,57,Birmingham,2023-11-09,No
C0300,Male,29,Birmingham,2022-06-07,No
C0301,Female,41,Leeds,2022-02-14,No
C0302,Female,65,Nottingham,2023-09-18,Yes
C0303,Male,37,Nottingham,2023-07-01,Yes
C0304,Female,47,Liverpool,2023-01-12,No
C0305,Female,28,Leeds,2023-05-30,Yes
C0306,Male,59,Nottingham,2022-09-14,No
C0307,Male,63,Manchester,2023-07-22,No
C0308,Male,35,Nottingham,2022-03-27,Yes
C0309,Male,32,Nottingham,2023-03-24,No
C0310,Female,21,Sheffield,2022-01-28,No
C0311,Female,23,Bristol,2022-08-30,Yes
C0312,Female,24,Bristol,2022-01-29,Yes
C0313,Male,36,Nottingham,2022-05-21,Yes
C0314,Female,57,London,2023-04-26,Yes
C0315,Female,31,Birmingham,2022-01-20,No
C0316,Female,33,Liverpool,2022-04-24,Yes
C0317,Male,44,Nottingham,2022-02-18,Yes
C0318,Female,56,London,2022-04-24,Yes
C0319,Female,45,London,2022-05-28,No
C0320,Female,29,Manchester,2022-09-04,No
C0321,Male,42,Nottingham,2022-03-11,Yes
C0322,Female,41,Liverpool,2023-10-13,Yes
C0323,Male,40,Leeds,2023-01-01,Yes
C0324,Female,26,London,2023-08-19,No
C0325,Female,59,Birmingham,2023-07-14,No
C0326,Male,26,Manchester,2023-05-06,No
C0327,Female,30,London,2022-02-07,Yes
C0328,Female,37,Sheffield,2022-02-12,No
C0329,Male,59,Leeds,2022-09-17,No
C0330,Male,59,Bristol,2023-01-01,No
C0331,Female,45,Sheffield,2022-05-08,No
C0332,Female,29,Nottingham,2023-01-31,No
C0333,Female,23,Sheffield,2023-01-12,Yes
C0334,Male,52,Liverpool,2023-03-17,No
C0335,Male,38,Liverpool,2022-04-16,No
C0336,Female,28,Nottingham,2023-04-02,No
C0337,Male,64,Bristol,2023-04-03,No
C0338,Male,22,Sheffield,2022-10-09,No
C0339,Male,19,Birmingham,2023-06-10,No
C0340,Male,22,Leeds,2022-02-05,No
C0341,Female,54,London,2023-01-06,Yes
C0342,Female,41,Bristol,2023-11-27,No
C0343,Male,51,Bristol,2022-03-20,No
C0344,Female,33,Manchester,2022-11-18,Yes
C0345,Female,51,Sheffield,2022-07-10,Yes
C0346,Female,63,Nottingham,2022-09-26,Yes
C0347,Female,62,Nottingham,2023-09-19,Yes
C0348,Male,22,Nottingham,2022-05-06,Yes
C0349,Male,61,Bristol,2023-04-01,No
C0350,Female,37,Birmingham,2022-03-08,Yes
C0351,Male,25,Leeds,2023-01-06,Yes
C0352,Female,19,Bristol,2022-08-31,No
C0353,Male,57,Manchester,2023-04-24,Yes
C0354,Female,63,Nottingham,2022-11-13,No
C0355,Male,26,Bristol,2023-02-24,Yes
C0356,Female,61,Bristol,2023-04-06,Yes
C0357,Male,26,Sheffield,2023-07-19,Yes
C0358,Male,37,Birmingham,2022-05-08,Yes
C0359,Male,40,Liverpool,2022-11-27,Yes
C0360,Male,58,Liverpool,2022-09-14,Yes
C0361,Female,57,Manchester,2023-10-03,Yes
C0362,Male,28,Bristol,2023-08-30,Yes
C0363,Male,20,Liverpool,2022-01-30,Yes
C0364,Female,57,London,2023-08-09,No
C0365,Female,59,Liverpool,2023-10-05,No
C0366,Female,37,Nottingham,2022-09-08,Yes
C0367,Male,46,Sheffield,2022-03-03,No
C0368,Male,39,Birmingham,2023-04-21,No
C0369,Female,43,Birmingham,2022-11-23,No
C0370,Male,38,Leeds,2023-06-12,No
C0371,Female,46,Leeds,2022-05-06,Yes
C0372,Male,36,Sheffield,2022-04-10,No
C0373,Male,38,Bristol,2022-09-12,Yes
C0374,Female,50,Nottingham,2022-06-13,No
C0375,Female,19,Manchester,2022-11-12,No
C0376,Female,33,Leeds,2023-06-02,No
C0377,Male,36,Nottingham,2022-02-19,No
C0378,Male,24,Sheffield,2022-10-20,Yes
C0379,Female,43,Bristol,2022-09-28,Yes
C0380,Male,54,Leeds,2023-02-15,No
C0381,Female,22,Sheffield,2023-07-21,No
C0382,Female,57,Manchester,2023-07-18,Yes
C0383,Female,41,Bristol,2022-04-10,No
C0384,Male,56,Sheffield,2022-05-28,Yes
C0385,Male,26,Bristol,2022-02-16,No
C0386,Female,27,Birmingham,2023-06-16,No
C0387,Female,28,Sheffield,2023-09-20,No
C0388,Female,50,Nottingham,2023-08-31,No
C0389,Male,41,Bristol,2023-05-02,Yes
C0390,Female,64,London,2023-03-03,No
C0391,Male,64,London,2022-09-29,No
C0392,Female,27,Leeds,2022-06-24,Yes
C0393,Male,30,London,2023-08-10,No
C0394,Female,27,Sheffield,2022-11-18,Yes
C0395,Female,65,London,2023-02-25,Yes
C0396,Male,53,Bristol,2023-06-16,No
C0397,Female,38,Birmingham,2023-06-23,No
C0398,Female,52,Bristol,2023-06-30,No
C0399,Female,30,Leeds,2023-09-17,No
C0400,Female,32,Liverpool,2023-07-26,No
C0401,Female,38,Nottingham,2022-08-01,No
C0402,Female,36,Manchester,2023-07-28,No
C0403,Female,27,Liverpool,2023-02-09,Yes
C0404,Male,40,Nottingham,2022-10-22,No
C0405,Male,30,Liverpool,2023-05-06,No
C0406,Male,57,Leeds,2022-05-21,Yes
C0407,Male,58,Leeds,2022-02-21,Yes
C0408,Female,39,Nottingham,2022-04-13,Yes
C0409,Male,18,Birmingham,2023-11-29,No
C0410,Female,48,Leeds,2023-10-31,No
C0411,Female,59,London,2022-11-25,Yes
C0412,Male,52,London,2023-10-30,Yes
C0413,Male,20,Sheffield,2023-03-04,No
C0414,Female,20,London,2022-07-10,No
C0415,Male,39,Liverpool,2023-08-05,No
C0416,Female,26,Nottingham,2023-10-19,No
C0417,Male,39,Birmingham,2022-07-17,No
C0418,Female,63,Birmingham,2023-10-26,Yes
C0419,Female,54,Leeds,2022-12-12,Yes
C0420,Female,45,Bristol,2023-09-18,Yes
C0421,Male,29,Birmingham,2023-02-15,No
C0422,Male,18,Liverpool,2022-11-28,No
C0423,Female,35,Bristol,2022-08-30,No
C0424,Male,34,Bristol,2023-08-20,Yes
C0425,Male,47,Liverpool,2022-03-05,Yes
C0426,Female,62,Manchester,2023-02-20,No
C0427,Male,32,Birmingham,2023-01-12,No
C0428,Female,65,Bristol,2022-06-06,No
C0429,Female,52,Leeds,2023-07-17,Yes
C0430,Male,51,Nottingham,2023-11-28,No
C0431,Male,21,Leeds,2022-03-21,Yes
C0432,Female,51,Nottingham,2022-06-18,Yes
C0433,Male,63,Nottingham,2023-11-28,Yes
C0434,Female,21,Nottingham,2023-06-07,Yes
C0435,Female,47,London,2023-06-10,No
C0436,Female,64,London,2023-11-20,No
C0437,Male,65,Leeds,2022-09-18,Yes
C0438,Female,40,Manchester,2022-02-16,Yes
C0439,Female,20,Liverpool,2022-03-12,No
C0440,Male,59,Sheffield,2022-07-04,No
C0441,Female,42,Sheffield,2023-01-27,Yes
C0442,Male,59,Bristol,2023-12-01,Yes
C0443,Female,51,Birmingham,2022-07-02,Yes
C0444,Male,37,Nottingham,2022-01-04,No
C0445,Female,32,Leeds,2023-06-29,No
C0446,Male,35,Leeds,2022-12-21,Yes
C0447,Female,57,London,2022-02-02,Yes
C0448,Male,24,London,2022-07-31,No
C0449,Male,33,London,2023-09-05,No
C0450,Male,52,Leeds,2023-03-26,Yes
C0451,Female,32,Bristol,2022-05-24,No
C0452,Female,27,Leeds,2022-08-31,No
C0453,Female,21,Birmingham,2022-11-04,No
C0454,Female,21,Bristol,2023-07-24,No
C0455,Female,62,Sheffield,2023-06-22,No
C0456,Female,42,Birmingham,2022-06-02,No
C0457,Male,37,Birmingham,2022-09-04,No
C0458,Female,44,Birmingham,2022-03-01,No
C0459,Female,31,Bristol,2022-09-06,Yes
C0460,Female,23,Leeds,2023-04-06,Yes
C0461,Female,61,London,2022-10-02,Yes
C0462,Male,48,Leeds,2022-07-12,No
C0463,Male,31,Leeds,2022-11-07,Yes
C0464,Male,62,Leeds,2023-05-06,No
C0465,Female,36,Sheffield,2022-09-03,No
C0466,Female,37,Liverpool,2023-07-01,No
C0467,Female,47,Manchester,2023-06-10,No
C0468,Male,41,Bristol,2022-11-24,No
C0469,Male,65,Birmingham,2022-02-16,Yes
C0470,Female,36,Birmingham,2022-09-25,Yes
C0471,Male,42,Leeds,2022-12-04,No
C0472,Female,34,Nottingham,2023-07-18,No
C0473,Male,64,Bristol,2023-04-17,Yes
C0474,Female,29,London,2022-05-24,Yes
C0475,Male,18,Sheffield,2022-03-18,Yes
C0476,Male,22,Birmingham,2023-10-08,Yes
C0477,Female,41,London,2022-08-12,No
C0478,Female,19,London,2023-11-07,No
C0479,Male,51,Liverpool,2022-01-13,No
C0480,Female,29,Manchester,2022-01-18,Yes
C0481,Male,33,Leeds,2023-06-21,No
C0482,Female,43,Manchester,2022-12-29,No
C0483,Female,54,Leeds,2023-02-20,Yes
C0484,Male,59,London,2022-11-04,Yes
C0485,Female,42,Nottingham,2023-02-20,Yes
C0486,Male,62,Birmingham,2023-10-15,Yes
C0487,Female,59,Bristol,2023-05-27,Yes
C0488,Male,32,Leeds,2023-06-25,No
C0489,Male,22,Liverpool,2022-10-05,Yes
C0490,Female,19,Leeds,2022-07-03,Yes
C0491,Male,37,Birmingham,2023-02-12,Yes
C0492,Female,61,Bristol,2023-08-04,No
C0493,Male,50,Bristol,2022-05-24,Yes
C0494,Female,32,Manchester,2022-04-11,No
C0495,Female,38,London,2023-09-12,No
C0496,Female,32,Bristol,2023-04-07,No
C0497,Male,61,Sheffield,2023-03-19,Yes
C0498,Female,33,Manchester,2023-09-26,Yes
C0499,Male,42,Birmingham,2022-10-02,No
C0500,Female,24,Manchester,2022-11-21,Yes
C0501,Female,41,Liverpool,2022-11-12,Yes
C0502,Male,29,Sheffield,2022-05-16,No
C0503,Female,24,London,2023-07-25,Yes
C0504,Male,56,Bristol,2022-12-29,No
C0505,Female,44,Sheffield,2022-01-13,Yes
C0506,Male,54,Birmingham,2023-07-27,No
C0507,Male,35,Liverpool,2022-06-23,No
C0508,Male,22,Birmingham,2023-05-20,No
C0509,Female,37,Nottingham,2022-10-10,Yes
C0510,Female,33,Nottingham,2023-01-05,Yes
C0511,Male,26,Liverpool,2023-04-14,Yes
C0512,Female,57,Sheffield,2023-02-10,No
C0513,Female,45,Birmingham,2023-03-27,No
C0514,Male,48,Bristol,2022-11-25,Yes
C0515,Female,36,Nottingham,2023-02-12,Yes
C0516,Female,35,Sheffield,2022-11-30,No
C0517,Male,55,Birmingham,2022-04-27,Yes
C0518,Male,46,Liverpool,2023-04-18,Yes
C0519,Female,26,Liverpool,2023-02-23,Yes
C0520,Male,63,Sheffield,2022-09-16,No
C0521,Female,56,Nottingham,2022-03-17,No
C0522,Female,52,London,2023-07-02,No
C0523,Male,24,Leeds,2023-07-04,No
C0524,Male,54,Sheffield,2022-06-20,No
C0525,Male,18,Manchester,2023-03-17,No
C0526,Male,46,Bristol,2022-08-16,No
C0527,Male,40,London,2023-04-20,No
C0528,Female,44,Manchester,2022-04-18,Yes
C0529,Female,37,Bristol,2022-05-26,No
C0530,Female,40,Nottingham,2022-07-31,Yes
C0531,Female,38,Manchester,2023-03-25,No
C0532,Male,19,Bristol,2022-02-15,Yes
C0533,Male,65,Leeds,2023-11-25,Yes
C0534,Male,39,Sheffield,2023-07-20,No
C0535,Female,58,Birmingham,2022-08-26,Yes
C0536,Female,43,London,2023-10-18,Yes
C0537,Female,42,London,2023-04-06,Yes
C0538,Female,63,Manchester,2022-07-30,Yes
C0539,Male,41,Bristol,2023-07-04,Yes
C0540,Male,34,Nottingham,2023-04-14,No
C0541,Female,57,Sheffield,2023-09-04,Yes
C0542,Female,47,Birmingham,2022-12-23,No
C0543,Male,61,Birmingham,2023-09-22,No
C0544,Male,37,Manchester,2022-05-01,Yes
C0545,Male,50,Sheffield,2023-01-18,No
C0546,Male,54,Sheffield,2023-09-03,No
C0547,Female,58,Birmingham,2022-07-10,Yes
C0548,Female,26,Birmingham,2023-05-17,No
C0549,Male,40,London,2023-04-07,No
C0550,Male,42,Nottingham,2022-05-20,No
C0551,Female,63,Nottingham,2023-05-19,No
C0552,Male,54,London,2022-06-21,Yes
C0553,Male,35,Leeds,2022-10-27,No
C0554,Female,54,Nottingham,2022-06-22,Yes
C0555,Male,35,Bristol,2023-08-10,Yes
C0556,Male,45,Manchester,2023-03-28,Yes
C0557,Male,46,Liverpool,2022-11-01,No
C0558,Female,25,Leeds,2022-03-31,Yes
C0559,Female,63,Sheffield,2023-08-26,Yes
C0560,Male,31,Leeds,2023-09-23,Yes
C0561,Female,52,Liverpool,2023-08-07,Yes
C0562,Female,36,Liverpool,2022-11-28,Yes
C0563,Female,21,Liverpool,2022-05-19,Yes
C0564,Male,27,Bristol,2022-05-16,Yes
C0565,Female,49,Birmingham,2023-11-24,No
C0566,Female,42,Nottingham,2023-10-05,Yes
C0567,Male,43,Liverpool,2023-10-11,No
C0568,Female,38,London,2023-04-11,Yes
C0569,Female,22,Sheffield,2023-04-15,Yes
C0570,Male,49,Liverpool,2023-03-16,No
C0571,Female,53,Birmingham,2022-10-18,No
C0572,Male,20,Manchester,2022-12-18,No
C0573,Male,28,Nottingham,2022-01-17,No
C0574,Female,30,Birmingham,2022-01-01,No
C0575,Female,23,Bristol,2022-06-12,No
C0576,Female,60,Birmingham,2022-03-26,Yes
C0577,Female,64,Leeds,2023-02-10,No
C0578,Male,63,Manchester,2023-11-03,Yes
