order_id,customer_id,product_id,order_date,quantity,payment_method
O00072,C0754,P009,2023-11-14,2,Cash
O00073,C0165,P051,2023-02-14,2,Cash
O00074,C0158,P014,2024-05-05,2,Cash
O00075,C0304,P064,2023-02-27,2,Card
O00076,C0047,P038,2023-09-24,4,Online
O00077,C0271,P061,2023-10-05,3,Cash
O00078,C0044,P038,2023-08-16,2,Card
O00079,C0476,P067,2023-01-12,3,Cash
O00080,C0703,P042,2023-10-24,4,Online
O00081,C1086,P071,2023-12-07,4,Cash
O00082,C1162,P017,2023-06-05,3,Card
O00083,C0533,P030,2024-02-09,4,Cash
O00084,C0591,P007,2024-05-12,2,Cash
O00085,C0934,P022,2023-05-26,5,Card
O00086,C1097,P037,2023-12-31,2,Card
O00087,C0315,P021,2024-03-05,2,Card
O00088,C0649,P074,2023-01-22,2,Cash
O00089,C0758,P024,2023-05-14,2,Online
O00090,C0072,P041,2023-12-29,3,Card
O00091,C0919,P070,2023-07-10,2,Online
O00092,C0249,P004,2023-06-04,4,Cash
O00093,C0298,P059,2024-01-29,3,Card
O00094,C1119,P065,2023-01-03,3,Online
O00095,C0606,P061,2023-12-28,3,Online
O00096,C0302,P073,2023-12-08,4,Cash
O00097,C0231,P062,2023-12-19,1,Card
O00098,C1129,P015,2023-12-14,3,Card
O00099,C0452,P058,2023-07-25,3,Card
O00100,C0113,P078,2023-06-17,2,Online
O00101,C0455,P036,2023-09-27,2,Card
O00102,C1103,P058,2023-02-12,1,Online
O00103,C0399,P063,2023-07-21,3,Online
O00104,C1048,P008,2023-11-06,3,Cash
O00105,C0876,P048,2023-03-17,4,Cash
O00106,C0583,P045,2023-01-07,3,Cash
O00107,C0913,P072,2024-05-15,1,Card
O00108,C0910,P054,2024-01-08,4,Cash
O00109,C0869,P054,2023-03-25,2,Online
O00110,C0177,P019,2023-11-03,2,Cash
O00111,C1076,P043,2023-09-01,1,Online
O00112,C0770,P012,2024-01-23,1,Cash
O00113,C0560,P054,2023-11-24,2,Online
O00114,C1164,P018,2023-08-25,2,Card
O00115,C0782,P038,2024-03-02,5,Cash
O00116,C0619,P075,2023-01-22,3,Cash
O00117,C0950,P029,2023-10-14,1,Card
O00118,C0538,P039,2023-03-20,4,Card
O00119,C0590,P054,2023-12-01,2,Cash
O00120,C0502,P004,2024-04-09,1,Cash
O00121,C0137,P077,2023-09-10,3,Online
O00122,C1159,P056,2023-09-04,3,Online
O00123,C0975,P016,2023-12-18,3,Online
O00124,C1179,P003,2024-01-11,3,Card
O00125,C0120,P019,2023-10-25,3,Cash
O00126,C0278,P046,2024-03-25,2,Card
O00127,C0740,P054,2023-05-20,3,Card
O00128,C0598,P068,2023-05-29,1,Online
O00129,C0376,P013,2023-04-10,5,Card
O00130,C0661,P041,2023-10-06,3,Cash
O00131,C0743,P013,2023-12-17,5,Online
O00132,C0295,P002,2023-06-30,2,Online
O00133,C0764,P063,2023-05-25,4,Cash
O00134,C0334,P014,2024-04-16,2,Card
O00135,C0453,P025,2023-09-15,5,Online
O00136,C1077,P069,2023-12-20,5,Online
O00137,C0234,P054,2024-01-23,4,Card
O00138,C0269,P003,2023-03-01,4,Cash
O00139,C0743,P018,2023-06-09,4,Online
O00140,C0701,P023,2023-09-25,3,Card
O00141,C0243,P029,2024-01-17,2,Online
O00142,C0465,P040,2023-03-14,2,Card
O00143,C0161,P055,2023-03-08,1,Card
O00144,C0992,P056,2023-01-10,1,Card
O00145,C0068,P066,2023-02-25,5,Card
O00146,C0244,P033,2023-08-29,1,Card
O00147,C0022,P013,2023-06-04,1,Online
O00148,C0410,P024,2023-04-16,3,Card
O00149,C0299,P036,2023-02-16,5,Cash
O00150,C0329,P065,2023-06-30,5,Card
O00151,C1168,P009,2023-09-16,1,Online
O00152,C0029,P068,2024-01-26,2,Online
O00153,C0578,P022,2023-04-09,5,Card
O00154,C0203,P028,2024-05-13,5,Online
O00155,C0751,P076,2023-09-01,2,Cash
O00156,C0220,P024,2023-12-11,3,Cash
O00157,C0439,P066,2023-08-06,2,Cash
O00158,C0644,P016,2023-02-27,4,Card
O00159,C0279,P064,2023-09-24,3,Online
O00160,C1142,P006,2023-05-28,1,Cash
O00161,C0237,P050,2023-09-10,3,Cash
O00162,C0639,P057,2023-11-04,2,Online
O00163,C0596,P055,2023-07-28,2,Card
O00164,C0975,P048,2024-04-03,2,Card
O00165,C1007,P014,2023-12-12,4,Cash
O00166,C0175,P016,2023-09-25,2,Cash
O00167,C0209,P022,2023-07-25,1,Cash
O00168,C0408,P044,2024-05-14,2,Online
O00169,C0828,P016,2024-03-08,2,Cash
O00170,C1023,P036,2024-01-07,5,Online
O00171,C0820,P046,2023-05-20,4,Online
O00172,C0829,P063,2023-11-05,5,Cash
O00173,C0932,P014,2023-03-17,1,Cash
O00174,C1019,P030,2023-09-08,2,Card
O00175,C0109,P009,2023-02-20,4,Online
O00176,C0367,P049,2023-01-14,5,Online
O00177,C0313,P039,2023-06-17,5,Online
O00178,C0157,P067,2023-02-19,4,Cash
O00179,C0602,P064,2023-04-14,4,Online
O00180,C1111,P044,2023-05-14,5,Online
O00181,C0065,P056,2023-01-10,1,Cash
O00182,C0645,P049,2023-08-19,4,Cash
O00183,C0068,P023,2023-01-19,5,Online
O00184,C0621,P022,2024-03-16,4,Cash
O00185,C0640,P050,2023-03-10,4,Card
O00186,C1005,P071,2023-10-19,5,Online
O00187,C0975,P072,2023-08-29,2,Online
O00188,C0802,P034,2023-01-29,4,Online
O00189,C0774,P079,2024-05-12,3,Cash
O00190,C0126,P004,2023-06-14,5,Card
O00191,C0751,P045,2023-03-07,5,Card
O00192,C0699,P049,2024-01-27,1,Cash
O00193,C0732,P053,2023-06-26,3,Card
O00194,C0501,P032,2023-12-05,2,Online
O00195,C0174,P009,2023-06-09,3,Card
O00196,C0348,P003,2023-06-22,5,Cash
O00197,C0944,P055,2023-01-20,5,Online
O00198,C0863,P035,2024-04-06,1,Online
O00199,C0046,P041,2023-08-29,4,Online
O00200,C0661,P074,2023-07-19,1,Cash
O00201,C0422,P044,2023-02-21,4,Online
O00202,C0696,P022,2024-02-20,5,Cash
O00203,C0893,P026,2023-07-06,4,Online
O00204,C0155,P069,2024-03-09,2,Cash
O00205,C0098,P039,2023-05-16,5,Cash
O00206,C0463,P080,2024-02-16,1,Online
O00207,C1185,P013,2024-03-08,5,Cash
O00208,C0138,P073,2023-05-20,5,Cash
O00209,C0430,P045,2023-08-07,1,Online
O00210,C0619,P065,2024-02-26,3,Cash
O00211,C1106,P041,2023-12-06,2,Cash
O00212,C0515,P080,2023-07-25,5,Cash
O00213,C1122,P024,2023-12-10,1,Online
O00214,C1058,P024,2023-12-27,5,Cash
O00215,C0958,P035,2023-04-20,5,Online
O00216,C0889,P073,2024-03-12,1,Online
O00217,C0747,P060,2023-04-13,2,Card
O00218,C0615,P056,2023-03-19,4,Cash
O00219,C0132,P027,2024-03-16,4,Cash
O00220,C0588,P021,2024-02-26,3,Online
O00221,C0484,P052,2023-11-04,2,Card
O00222,C0394,P004,2023-03-18,2,Cash
O00223,C0995,P072,2023-08-26,4,Cash
O00224,C0076,P026,2023-11-28,2,Cash
O00225,C0060,P034,2023-03-11,3,Online
O00226,C0361,P006,2023-10-09,4,Card
O00227,C0172,P041,2023-01-29,5,Cash
O00228,C0131,P053,2024-03-19,3,Online
O00229,C0185,P051,2023-12-03,2,Card
O00230,C1170,P065,2023-02-27,1,Online
O00231,C1189,P068,2023-12-07,3,Cash
O00232,C0185,P031,2024-03-28,5,Card
O00233,C0642,P043,2024-01-31,5,Online
O00234,C0484,P055,2023-07-19,2,Card
O00235,C0359,P028,2023-02-24,3,Cash
O00236,C0521,P076,2023-07-29,1,Cash
O00237,C0768,P015,2023-10-01,3,Online
O00238,C0973,P032,2023-08-05,3,Card
O00239,C0974,P048,2023-07-05,3,Card
O00240,C0072,P007,2023-11-27,2,Cash
O00241,C0788,P040,2023-10-10,3,Online
O00242,C1096,P031,2023-03-04,4,Cash
O00243,C0805,P033,2023-01-05,3,Card
O00244,C0483,P039,2024-04-24,2,Card
O00245,C0899,P041,2024-04-13,4,Card
O00246,C0165,P063,2023-05-21,4,Online
O00247,C0682,P055,2023-07-31,1,Card
O00248,C0535,P065,2023-12-24,1,Cash
O00249,C1122,P042,2023-08-04,4,Online
O00250,C0107,P024,2023-01-15,4,Online
O00251,C0007,P052,2023-03-11,2,Online
O00252,C0643,P074,2023-06-06,1,Card
O00253,C0512,P067,2023-03-22,2,Online
O00254,C0841,P041,2023-12-18,4,Cash
O00255,C0274,P034,2024-03-23,2,Online
O00256,C0671,P037,2023-10-31,2,Card
O00257,C0753,P024,2023-08-01,4,Cash
O00258,C1169,P029,2024-04-28,1,Card
O00259,C1144,P079,2024-04-17,2,Card
O00260,C0948,P026,2024-05-13,3,Online
O00261,C0346,P007,2024-03-12,4,Online
O00262,C0533,P020,2023-08-08,1,Cash
O00263,C1162,P016,2023-03-29,1,Online
O00264,C0892,P059,2023-09-27,4,Card
O00265,C0417,P025,2023-04-25,3,Cash
O00266,C1013,P049,2024-01-18,2,Cash
O00267,C0424,P077,2024-03-14,2,Cash
O00268,C0388,P054,2024-01-08,2,Cash
O00269,C0299,P004,2024-02-10,3,Cash
O00270,C0924,P032,2023-05-01,3,Online
O00271,C0939,P011,2023-12-17,1,Cash
O00272,C0663,P051,2023-03-10,2,Online
O00273,C0867,P077,2023-07-16,3,Card
O00274,C1141,P008,2023-02-18,1,Cash
O00275,C0481,P061,2024-04-21,3,Online
O00276,C0094,P001,2024-04-25,3,Online
O00277,C0781,P039,2023-11-14,4,Online
O00278,C0271,P072,2023-07-09,1,Online
O00279,C0534,P022,2023-04-02,5,Cash
O00280,C0695,P060,2024-04-21,2,Card
O00281,C1087,P056,2023-06-12,2,Cash
O00282,C0642,P006,2023-03-01,2,Cash
O00283,C0576,P047,2024-03-22,4,Cash
O00284,C0540,P079,2024-04-07,3,Online
O00285,C0893,P022,2023-06-10,3,Online
O00286,C0310,P072,2023-09-09,4,Card
O00287,C0305,P007,2023-04-07,2,Card
O00288,C0964,P034,2023-01-19,2,Online
O00289,C0894,P015,2023-08-28,4,Card
O00290,C0731,P072,2023-08-15,4,Cash
O00291,C0231,P019,2023-09-10,1,Cash
O00292,C0418,P037,2023-02-17,2,Card
O00293,C1042,P035,2024-01-19,5,Online
O00294,C0435,P075,2023-10-27,1,Online
O00295,C1169,P024,2024-01-28,4,Card
O00296,C1021,P013,2023-05-07,3,Card
O00297,C0250,P051,2023-05-26,3,Online
O00298,C0218,P042,2024-04-20,2,Card
O00299,C0943,P062,2023-02-11,4,Online
O00300,C0552,P077,2024-05-04,1,Cash
O00301,C0090,P080,2024-05-11,4,Cash
O00302,C1166,P017,2024-04-30,2,Card
O00303,C0580,P042,2024-02-15,1,Online
O00304,C1121,P078,2023-02-06,4,Card
O00305,C0523,P023,2023-07-24,2,Cash
O00306,C0043,P027,2023-02-15,2,Cash
O00307,C0825,P037,2024-02-04,2,Card
O00308,C1006,P056,2023-06-02,3,Online
O00309,C0269,P046,2023-11-05,1,Cash
O00310,C0410,P063,2023-09-20,4,Cash
O00311,C0550,P073,2023-09-01,5,Cash
O00312,C0866,P048,2023-02-16,5,Card
O00313,C0873,P012,2023-08-11,1,Online
O00314,C0950,P029,2023-06-24,2,Cash
O00315,C1075,P011,2023-09-27,3,Cash
O00316,C0163,P062,2023-08-12,3,Card
O00317,C0616,P032,2023-03-07,5,Cash
O00318,C1165,P007,2023-06-01,5,Card
O00319,C0093,P066,2024-04-14,1,Online
O00320,C0846,P013,2023-08-06,4,Online
O00321,C1165,P033,2024-01-04,3,Cash
O00322,C0168,P065,2023-10-27,1,Card
O00323,C0948,P023,2024-01-15,2,Cash
O00324,C0171,P054,2023-01-24,3,Cash
O00325,C0932,P058,2023-10-28,5,Cash
O00326,C0384,P028,2023-06-24,2,Card
O00327,C0532,P014,2024-01-18,4,Online
O00328,C0012,P051,2023-01-10,1,Card
O00329,C0978,P059,2023-03-29,4,Online
O00330,C0997,P039,2024-05-09,5,Online
O00331,C0809,P039,2023-07-04,1,Card
O00332,C0029,P025,2023-03-11,1,Card
O00333,C0386,P004,2023-12-23,2,Cash
O00334,C0298,P031,2023-11-29,4,Online
O00335,C1104,P025,2024-03-15,1,Cash
O00336,C0950,P019,2024-01-30,4,Cash
O00337,C0239,P022,2023-01-12,2,Online
O00338,C0912,P063,2023-12-26,4,Card
O00339,C0921,P075,2024-03-16,2,Card
O00340,C1167,P051,2023-05-31,1,Cash
O00341,C0211,P056,2023-01-05,4,Cash
O00342,C1186,P077,2024-01-13,5,Cash
O00343,C0999,P052,2023-01-19,4,Online
O00344,C1000,P030,2023-10-30,1,Online
O00345,C0865,P074,2023-01-10,3,Online
O00346,C0549,P054,2023-02-02,4,Card
O00347,C0711,P058,2023-09-11,4,Card
O00348,C0590,P025,2023-03-24,4,Cash
O00349,C0476,P065,2023-08-13,2,Online
O00350,C0695,P078,2024-04-10,4,Card
O00351,C0601,P050,2024-03-28,4,Online
O00352,C0738,P061,2023-12-01,2,Online
O00353,C0579,P012,2023-04-17,4,Card
O00354,C0409,P021,2023-03-30,5,Cash
O00355,C0852,P064,2023-02-21,3,Card
O00356,C1141,P007,2023-04-18,1,Cash
O00357,C0535,P046,2024-03-27,2,Card
O00358,C1032,P005,2024-02-28,1,Cash
O00359,C0234,P080,2023-08-09,2,Card
O00360,C0459,P063,2023-10-15,3,Cash
O00361,C0728,P006,2024-02-06,5,Cash
O00362,C0310,P066,2024-04-03,5,Online
O00363,C0104,P057,2023-02-23,4,Card
O00364,C0217,P079,2024-05-14,5,Card
O00365,C1152,P006,2024-02-26,5,Card
O00366,C0242,P027,2023-03-27,3,Card
O00367,C0599,P057,2024-01-08,5,Cash
O00368,C0204,P020,2024-01-11,3,Cash
O00369,C0283,P016,2024-02-24,2,Cash
O00370,C0852,P001,2024-05-11,2,Cash
O00371,C0588,P065,2023-06-24,2,Card
O00372,C0763,P054,2023-05-17,3,Online
O00373,C0503,P020,2023-12-07,5,Cash
O00374,C0468,P018,2024-02-08,4,Cash
O00375,C0839,P059,2024-04-15,5,Online
O00376,C0061,P057,2023-07-05,2,Card
O00377,C1060,P009,2024-01-03,1,Cash
O00378,C0823,P022,2023-06-11,4,Card
O00379,C0076,P020,2023-07-21,5,Card
O00380,C1065,P038,2024-05-15,4,Cash
O00381,C1134,P039,2024-03-29,3,Cash
O00382,C0573,P068,2023-01-05,5,Card
O00383,C0828,P058,2023-12-25,2,Online
O00384,C0906,P045,2023-11-16,4,Card
O00385,C0618,P011,2024-03-27,1,Online
O00386,C0799,P017,2023-06-21,5,Online
O00387,C0438,P012,2023-05-26,5,Online
O00388,C1068,P044,2023-06-09,2,Card
O00389,C1106,P076,2023-01-15,3,Card
O00390,C0623,P055,2024-03-02,5,Card
O00391,C0123,P048,2024-01-10,3,Online
O00392,C0726,P016,2023-09-17,1,Online
O00393,C0256,P058,2024-04-26,3,Online
O00394,C0011,P059,2024-01-13,3,Card
O00395,C1192,P073,2024-02-17,5,Online
O00396,C0718,P039,2023-04-30,3,Online
O00397,C1174,P018,2024-02-06,4,Online
O00398,C0508,P014,2024-01-13,3,Online
O00399,C0395,P047,2023-10-26,4,Card
O00400,C0872,P053,2023-03-17,1,Card
O00401,C0871,P017,2023-02-01,4,Card
O00402,C0160,P048,2023-08-17,5,Cash
O00403,C1145,P067,2023-10-29,4,Cash
O00404,C1022,P055,2023-10-27,4,Online
O00405,C1003,P054,2024-04-21,2,Card
O00406,C0261,P063,2023-09-16,4,Card
O00407,C1052,P068,2024-05-10,1,Online
O00408,C0933,P061,2023-04-19,1,Online
O00409,C1145,P048,2023-03-22,1,Online
O00410,C0837,P015,2024-03-12,1,Cash
O00411,C0594,P006,2023-10-20,5,Card
O00412,C0761,P040,2023-03-02,3,Cash
O00413,C0996,P004,2023-05-31,2,Card
O00414,C0864,P007,2024-02-06,3,Cash
O00415,C0375,P063,2023-04-21,1,Card
O00416,C0715,P009,2023-10-08,1,Cash
O00417,C1174,P040,2023-09-04,5,Cash
O00418,C0692,P049,2024-04-05,4,Online
O00419,C0272,P018,2024-03-02,5,Online
O00420,C0922,P058,2023-08-24,2,Online
O00421,C0183,P080,2023-06-16,5,Cash
O00422,C0477,P051,2023-07-18,3,Online
O00423,C0908,P036,2023-01-24,1,Card
O00424,C0051,P074,2023-12-29,3,Online
O00425,C0254,P072,2023-11-27,1,Card
O00426,C1110,P074,2024-05-04,1,Online
O00427,C0388,P061,2023-09-25,5,Card
O00428,C1090,P024,2023-03-03,1,Cash
O00429,C0422,P032,2024-02-07,5,Cash
O00430,C1093,P078,2023-02-13,3,Cash
O00431,C0093,P063,2023-10-29,1,Cash
O00432,C0370,P054,2023-08-12,1,Online
O00433,C0783,P033,2023-06-12,1,Card
O00434,C1110,P022,2023-02-20,3,Card
O00435,C0524,P012,2023-04-04,2,Cash
O00436,C0835,P022,2024-05-02,1,Online
O00437,C0667,P024,2024-05-07,1,Online
O00438,C0611,P050,2023-01-30,1,Cash
O00439,C0846,P042,2023-03-14,3,Cash
O00440,C0248,P007,2024-04-27,2,Card
O00441,C0485,P064,2024-01-21,5,Online
O00442,C0236,P035,2023-07-17,1,Cash
O00443,C1133,P053,2023-08-26,1,Cash
O00444,C0835,P030,2023-01-15,1,Cash
O00445,C0208,P032,2023-10-11,5,Online
O00446,C0258,P039,2024-02-07,5,Cash
O00447,C0172,P065,2023-08-17,2,Card
O00448,C1107,P022,2023-07-11,2,Online
O00449,C0868,P072,2024-05-02,4,Card
O00450,C0952,P080,2023-01-01,3,Online
O00451,C0343,P001,2024-05-12,1,Cash
O00452,C0514,P049,2023-05-20,3,Online
O00453,C1199,P066,2023-04-19,3,Card
O00454,C1094,P073,2023-03-24,1,Cash
O00455,C0810,P016,2023-02-15,2,Online
O00456,C0573,P056,2023-10-12,2,Online
O00457,C0652,P044,2023-09-16,3,Online
O00458,C0560,P032,2023-08-20,3,Cash
O00459,C0942,P077,2023-04-18,3,Card
O00460,C0274,P001,2024-04-12,5,Cash
O00461,C0020,P023,2023-01-03,4,Online
O00462,C1002,P051,2024-04-03,5,Card
O00463,C0159,P069,2024-02-08,1,Online
O00464,C0253,P046,2023-08-16,4,Online
O00465,C0793,P023,2023-07-03,1,Card
O00466,C0759,P025,2023-08-25,4,Card
O00467,C0041,P036,2023-04-24,3,Card
O00468,C0621,P029,2023-02-16,2,Cash
O00469,C0744,P005,2024-05-10,3,Cash
O00470,C0429,P001,2024-04-08,2,Online
O00471,C0228,P036,2023-07-22,5,Online
O00472,C0350,P071,2023-09-10,2,Online
O00473,C1159,P078,2024-01-14,5,Card
O00474,C0263,P009,2023-02-03,2,Cash
O00475,C1168,P030,2024-04-22,5,Online
O00476,C0562,P025,2024-02-05,1,Online
O00477,C1092,P079,2023-12-14,3,Online
O00478,C0930,P001,2023-10-14,4,Online
O00479,C0107,P042,2023-12-11,4,Cash
O00480,C0250,P067,2023-05-21,4,Cash
O00481,C1060,P006,2023-07-05,2,Card
O00482,C0861,P069,2023-05-23,4,Cash
O00483,C0803,P025,2023-01-03,3,Card
O00484,C1172,P004,2024-03-26,2,Online
O00485,C0153,P032,2023-08-05,2,Card
O00486,C0637,P009,2023-06-18,1,Card
O00487,C0885,P004,2023-09-03,5,Online
O00488,C0685,P033,2024-04-23,2,Card
O00489,C0489,P044,2023-08-31,1,Cash
O00490,C0485,P010,2023-09-24,5,Online
O00491,C0196,P058,2023-08-13,5,Card
O00492,C0125,P005,2023-02-13,4,Cash
O00493,C0134,P017,2024-03-31,1,Cash
O00494,C0618,P079,2023-01-29,4,Card
O00495,C0115,P072,2023-02-22,1,Cash
O00496,C0782,P052,2024-03-11,1,Online
O00497,C0842,P030,2024-01-21,5,Online
O00498,C0022,P059,2023-11-16,4,Cash
O00499,C0877,P080,2024-02-12,5,Card
O00500,C0054,P059,2023-06-23,5,Cash
O00501,C0395,P014,2023-10-28,1,Card
O00502,C0139,P076,2023-11-01,2,Online
O00503,C1043,P033,2023-03-06,3,Cash
O00504,C0911,P024,2023-09-04,2,Card
O00505,C0091,P008,2024-02-13,2,Cash
O00506,C0893,P066,2023-10-27,3,Cash
O00507,C1109,P019,2023-10-26,2,Cash
O00508,C0703,P038,2023-06-08,3,Card
O00509,C0297,P008,2023-09-23,2,Online
O00510,C1146,P007,2024-02-24,4,Cash
O00511,C0411,P026,2023-04-11,1,Cash
O00512,C0975,P060,2023-04-07,5,Online
O00513,C1185,P073,2023-06-19,3,Online
O00514,C0858,P043,2023-06-03,2,Card
O00515,C0087,P064,2023-08-21,2,Card
O00516,C0457,P030,2023-11-24,4,Online
O00517,C0490,P062,2023-04-20,3,Online
O00518,C0421,P052,2023-07-12,2,Card
O00519,C0021,P010,2023-07-05,3,Card
O00520,C0236,P019,2023-10-12,3,Cash
O00521,C1200,P047,2023-04-10,1,Card
O00522,C0406,P037,2023-04-12,2,Card
O00523,C0537,P023,2024-03-29,3,Online
O00524,C0366,P026,2023-05-06,1,Card
O00525,C0537,P013,2024-03-07,1,Online
O00526,C0777,P015,2023-03-12,3,Card
O00527,C0935,P031,2023-06-06,3,Cash
O00528,C0351,P068,2023-12-05,5,Cash
O00529,C0134,P016,2024-03-25,2,Card
O00530,C0389,P025,2024-02-11,5,Cash
O00531,C0767,P041,2023-12-22,5,Cash
O00532,C0501,P006,2024-05-15,5,Online
O00533,C1097,P038,2023-04-07,2,Cash
O00534,C0110,P036,2023-05-07,2,Online
O00535,C1197,P063,2024-05-10,2,Online
O00536,C0964,P079,2023-02-11,1,Card
O00537,C0795,P066,2023-09-18,3,Cash
O00538,C0951,P023,2023-09-23,3,Online
O00539,C1077,P062,2023-07-11,4,Cash
O00540,C1191,P052,2023-05-18,5,Online
O00541,C0425,P029,2023-01-19,2,Cash
O00542,C0481,P051,2024-03-17,2,Cash
O00543,C0773,P074,2023-08-06,2,Cash
O00544,C1128,P011,2023-05-11,2,Card
O00545,C0911,P067,2023-06-01,3,Card
O00546,C0085,P060,2023-10-26,5,Online
O00547,C0873,P058,2023-06-22,4,Cash
O00548,C0753,P064,2023-07-29,3,Cash
O00549,C0051,P023,2023-07-15,4,Card
O00550,C0156,P046,2023-05-16,1,Cash
O00551,C1028,P066,2024-03-07,5,Online
O00552,C0567,P030,2023-02-10,1,Card
O00553,C0738,P005,2023-02-06,5,Card
O00554,C0403,P043,2023-06-20,3,Cash
O00555,C0563,P025,2024-01-17,5,Card
O00556,C1113,P034,2024-03-13,1,Cash
O00557,C0710,P052,2023-05-25,4,Online
O00558,C0025,P061,2024-01-23,5,Card
O00559,C0815,P030,2024-03-19,2,Online
O00560,C0430,P061,2024-01-19,2,Online
O00561,C1132,P060,2023-10-28,4,Cash
O00562,C0176,P041,2024-02-10,2,Cash
O00563,C0856,P027,2024-01-30,4,Cash
O00564,C1144,P004,2024-03-12,3,Card
O00565,C0263,P040,2023-10-23,1,Cash
O00566,C0727,P044,2024-02-19,2,Cash
O00567,C0827,P069,2023-08-06,3,Cash
O00568,C0048,P073,2023-10-28,1,Card
O00569,C0677,P073,2023-03-20,5,Online
O00570,C0801,P049,2023-10-21,2,Cash
O00571,C1095,P050,2023-02-02,2,Cash
O00572,C0674,P073,2023-02-25,4,Online
O00573,C0624,P012,2024-04-03,2,Card
O00574,C1133,P023,2023-12-12,1,Online
O00575,C1001,P004,2023-11-05,2,Card
O00576,C0791,P037,2023-02-05,2,Card
O00577,C1074,P009,2023-05-30,4,Card
O00578,C1062,P002,2023-07-08,2,Cash
O00579,C0842,P051,2024-03-16,2,Card
O00580,C1099,P054,2023-03-08,4,Online
O00581,C0797,P027,2023-02-05,2,Card
O00582,C0886,P061,2023-06-08,2,Online
O00583,C0636,P076,2023-10-22,2,Online
O00584,C0940,P036,2024-01-02,2,Card
O00585,C0913,P009,2023-03-15,4,Online
O00586,C0506,P068,2024-02-18,3,Online
O00587,C1006,P059,2024-03-26,4,Online
O00588,C0187,P037,2023-01-21,4,Cash
O00589,C0610,P051,2023-12-25,5,Card
O00590,C0511,P023,2023-08-01,5,Online
O00591,C0938,P050,2023-08-10,2,Online
O00592,C0196,P051,2023-10-19,1,Card
O00593,C0324,P036,2024-03-29,5,Cash
O00594,C0137,P028,2023-12-08,4,Cash
O00595,C1133,P016,2024-01-26,3,Card
O00596,C0216,P065,2024-01-22,3,Cash
O00597,C0338,P033,2023-08-19,2,Online
